Price,Close,High,Low,Open,Volume
Ticker,USDT-USD,USDT-USD,USDT-USD,USDT-USD,USDT-USD
Datetime,,,,,
2026-04-19 00:00:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:01:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,720896
2026-04-19 00:02:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:03:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:04:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:05:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:06:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:07:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:08:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,1712128
2026-04-19 00:09:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:10:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:11:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:12:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:13:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:14:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:15:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:16:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:17:00+00:00,1.0004700422286987,1.0004700422286987,1.0004700422286987,1.0004700422286987,0
2026-04-19 00:18:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:19:00+00:00,1.0004700422286987,1.0004700422286987,1.0004700422286987,1.0004700422286987,1171456
2026-04-19 00:20:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,1302528
2026-04-19 00:21:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:22:00+00:00,1.0004700422286987,1.0004700422286987,1.0004700422286987,1.0004700422286987,0
2026-04-19 00:23:00+00:00,1.0004700422286987,1.0004700422286987,1.0004700422286987,1.0004700422286987,94396416
2026-04-19 00:24:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:25:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004700422286987,3645440
2026-04-19 00:26:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004700422286987,7110656
2026-04-19 00:27:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,71917568
2026-04-19 00:28:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004600286483765,15892480
2026-04-19 00:29:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,3235840
2026-04-19 00:30:00+00:00,1.0004600286483765,1.000480055809021,1.0004600286483765,1.000480055809021,9428992
2026-04-19 00:31:00+00:00,1.0004600286483765,1.0004700422286987,1.0004600286483765,1.0004600286483765,1048576
2026-04-19 00:32:00+00:00,1.0004600286483765,1.000480055809021,1.0004600286483765,1.000480055809021,3514368
2026-04-19 00:33:00+00:00,1.0004700422286987,1.000480055809021,1.0004600286483765,1.0004600286483765,14680064
2026-04-19 00:34:00+00:00,1.000480055809021,1.000480055809021,1.0004600286483765,1.0004600286483765,122880
2026-04-19 00:35:00+00:00,1.0004600286483765,1.000480055809021,1.0004600286483765,1.000480055809021,0
2026-04-19 00:36:00+00:00,1.0004700422286987,1.000480055809021,1.0004600286483765,1.000480055809021,386252800
2026-04-19 00:37:00+00:00,1.000480055809021,1.000480055809021,1.0004600286483765,1.0004700422286987,0
2026-04-19 00:38:00+00:00,1.000480055809021,1.000480055809021,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:39:00+00:00,1.0004600286483765,1.000480055809021,1.0004600286483765,1.000480055809021,0
2026-04-19 00:40:00+00:00,1.0004700422286987,1.000480055809021,1.0004600286483765,1.000480055809021,0
2026-04-19 00:41:00+00:00,1.0004700422286987,1.0004700422286987,1.0004600286483765,1.0004600286483765,82272256
2026-04-19 00:42:00+00:00,1.0004600286483765,1.000480055809021,1.0004600286483765,1.0004600286483765,0
2026-04-19 00:43:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.000480055809021,0
2026-04-19 00:44:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.000480055809021,0
2026-04-19 00:45:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.0004700422286987,0
2026-04-19 00:46:00+00:00,1.0004700422286987,1.000480055809021,1.0004700422286987,1.000480055809021,1220608
2026-04-19 00:47:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.0004700422286987,0
2026-04-19 00:48:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.000480055809021,0
2026-04-19 00:49:00+00:00,1.000480055809021,1.000480055809021,1.0004700422286987,1.000480055809021,3465216
