time_bin_center_s,ae_event_count
785.4175,1
786.7895,0
787.704,0
788.6185,0
789.533,0
790.4475,0
791.3625,0
792.277,0
793.1915,0
794.106,0
795.0205,0
795.935,0
796.8495,0
797.764,0
798.6785,0
799.5935,0
800.508,0
801.4225,0
802.337,0
803.2515,0
804.1659999999999,0
805.0805,0
805.995,0
806.9095,0
807.8245,0
808.739,0
809.6535,0
810.568,0
811.4825000000001,0
812.397,1
813.3115,0
814.2265,0
815.141,0
816.0554999999999,0
816.97,0
817.8845,0
818.799,0
819.7135000000001,0
820.628,0
821.5425,0
822.4575,0
823.372,0
824.2864999999999,0
825.201,0
826.1155,0
827.03,0
827.9445000000001,0
828.8595,0
829.774,0
830.6885,0
831.603,0
832.5174999999999,0
833.432,0
834.3465,0
835.261,0
836.1755,0
837.0905,0
838.005,0
838.9195,0
839.8340000000001,0
840.7485,0
841.663,0
842.5775,0
843.492,0
844.4065,0
845.3215,0
846.236,0
847.1505,0
848.065,0
848.9795,0
849.894,0
850.8085,0
851.7235000000001,1
852.638,0
853.5525,0
854.467,0
855.3815,0
856.296,0
857.2105,0
858.125,0
859.0395,0
859.9545,0
860.869,0
861.7835,0
862.698,0
863.6125,0
864.527,0
865.4415,0
866.356,0
867.2705,0
868.1855,0
869.1,0
870.0145,0
870.929,0
871.8435,0
872.758,0
873.6725,0
874.5875,0
875.502,0
876.4165,0
877.331,0
878.2455,0
879.16,0
880.0745,0
880.989,0
881.9035,0
882.8185,0
883.733,0
884.6475,0
885.562,0
886.4765,0
887.391,0
888.3054999999999,0
889.2205,0
890.135,0
891.0495,0
891.9639999999999,0
892.8785,0
893.793,0
894.7075,0
895.622,0
896.5364999999999,0
897.4515,0
898.366,0
899.2805000000001,0
900.195,0
901.1095,0
902.024,0
902.9385,0
903.853,0
904.7674999999999,0
905.6825,0
906.597,0
907.5115000000001,0
908.426,0
909.3405,0
910.255,0
911.1695,0
912.0844999999999,0
912.999,0
913.9135,0
914.828,0
915.7425000000001,0
916.657,0
917.5715,0
918.486,0
919.4005,0
920.3154999999999,0
921.23,0
922.1445,0
923.059,0
923.9735000000001,0
924.888,0
925.8025,0
926.7175,0
927.6320000000001,0
928.5465,0
929.461,0
930.3755,0
931.29,0
932.2045,0
933.119,0
934.0335,0
934.9485,0
935.863,0
936.7775,0
937.692,0
938.6065,0
939.521,0
940.4355,0
941.35,0
942.2645,0
943.1795,0
944.094,0
945.0085,0
945.923,0
946.8375,0
947.752,0
948.6665,0
949.5815,0
950.496,0
951.4105,0
952.325,0
953.2395,0
954.154,0
955.0685,0
955.983,0
956.8975,0
957.8125,0
958.727,0
959.6415,0
960.556,0
961.4705,0
962.385,0
963.2995,0
964.2145,0
965.129,0
966.0435,0
966.958,0
967.8725,0
968.787,0
969.7015,0
970.616,0
971.5305000000001,0
972.4455,0
973.36,0
974.2745,0
975.189,0
976.1034999999999,0
977.018,0
977.9325,0
978.847,0
979.7615000000001,0
980.6765,0
981.591,0
982.5055,0
983.42,0
984.3344999999999,0
985.249,0
986.1635,0
987.0785,0
987.9929999999999,0
988.9075,0
989.822,0
990.7365,0
991.651,0
992.5654999999999,0
993.48,0
994.3945,0
995.3095000000001,0
996.224,0
997.1385,0
998.053,0
998.9675,0
999.8820000000001,0
1000.7965,0
1001.711,0
1002.6255,0
1003.5405000000001,0
1004.455,0
1005.3695,0
1006.284,0
1007.1985,0
1008.113,0
1009.0275,0
1009.9425,1
1010.857,0
1011.7715000000001,0
1012.686,0
1013.6005,0
1014.515,0
1015.4295,0
1016.344,0
1017.2585,0
1018.1735,0
1019.088,0
1020.0025,0
1020.917,0
1021.8315,0
1022.746,0
1023.6605,0
1024.5755,0
1025.4899999999998,0
1026.4045,0
1027.319,0
1028.2335,0
1029.1480000000001,0
1030.0625,0
1030.9769999999999,0
1031.8915,0
1032.8065,0
1033.721,0
1034.6355,1
1035.5500000000002,0
1036.4645,0
1037.379,0
1038.2935,0
1039.208,0
1040.1225,0
1041.0375,0
1041.952,0
1042.8665,0
1043.781,0
1044.6955,0
1045.6100000000001,0
1046.5245,0
1047.4395,0
1048.3539999999998,0
1049.2685000000001,0
1050.183,0
1051.0975,0
1052.0120000000002,0
1052.9265,0
1053.841,0
1054.7555,0
1055.6705,0
1056.585,0
1057.4995,0
1058.4140000000002,0
1059.3285,0
1060.243,0
1061.1575,0
1062.0725,0
1062.987,0
1063.9015,0
1064.8159999999998,0
1065.7305000000001,0
1066.645,0
1067.5595,0
1068.4740000000002,0
1069.3885,0
1070.3035,0
1071.2179999999998,0
1072.1325,0
1073.047,0
1073.9615,0
1074.8760000000002,0
1075.7905,0
1076.705,1
1077.6195,0
1078.5345,0
1079.449,0
1080.3635,0
1081.2779999999998,0
1082.1925,0
1083.107,0
1084.0215,0
1084.9365,0
1085.851,0
1086.7655,0
1087.6799999999998,0
1088.5945,0
1089.509,0
1090.4234999999999,0
1091.3380000000002,0
1092.2525,0
1093.1675,0
1094.0819999999999,0
1094.9965,0
1095.911,0
1096.8255,0
1097.7399999999998,0
1098.6545,0
1099.5695,0
1100.484,0
1101.3985,0
1102.313,0
1103.2275,0
1104.1419999999998,0
1105.0565,0
1105.971,0
1106.8855,0
1107.8005,0
1108.7150000000001,0
1109.6295,0
1110.5439999999999,0
1111.4585,0
1112.373,0
1113.2875,0
1114.202,0
1115.1165,0
1116.0315,0
1116.946,0
1117.8605,0
1118.775,0
1119.6895,0
1120.6039999999998,0
1121.5185000000001,0
1122.4335,0
1123.348,0
1124.2625,0
1125.1770000000001,0
1126.0915,0
1127.0059999999999,0
1127.9205,0
1128.835,0
1129.7495,0
1130.6645,0
1131.5790000000002,0
1132.4935,1
1133.408,0
1134.3225,0
1135.237,0
1136.1515,0
1137.0665,0
1137.981,0
1138.8955,0
1139.81,0
1140.7245,0
1141.6390000000001,0
1142.5535,0
1143.4679999999998,0
1144.3825,0
1145.2975000000001,0
1146.212,0
1147.1265,0
1148.0410000000002,0
1148.9555,0
1149.87,0
1150.7845,0
1151.699,0
1152.6135,0
1153.5285,0
1154.4430000000002,0
1155.3575,0
1156.272,0
1157.1865,0
1158.101,0
1159.0155,0
1159.9305,0
1160.8449999999998,0
1161.7595000000001,0
1162.674,0
1163.5885,0
1164.5030000000002,0
1165.4175,0
1166.3319999999999,0
1167.2465,0
1168.1615,0
1169.076,0
1169.9904999999999,0
1170.9050000000002,0
1171.8195,0
1172.734,1
1173.6485,0
1174.563,0
1175.4775,0
1176.3925,0
1177.3069999999998,0
1178.2215,0
1179.136,0
1180.0505,0
1180.9650000000001,1
1181.8795,0
1182.7945,0
1183.7089999999998,0
1184.6235,0
1185.538,0
1186.4524999999999,0
1187.3670000000002,0
1188.2815,1
1189.196,0
1190.1105,0
1191.0255,0
1191.94,0
1192.8545,0
1193.769,0
1194.6835,0
1195.598,0
1196.5125,0
1197.4275,0
1198.342,0
1199.2565,0
1200.1709999999998,0
1201.0855,0
1202.0,0
1202.9145,0
1203.8290000000002,0
1204.7435,0
1205.6585,0
1206.5729999999999,0
1207.4875,0
1208.402,0
1209.3165,0
1210.231,0
1211.1455,0
1212.06,0
1212.9745,0
1213.8895,0
1214.804,1
1215.7185,0
1216.6329999999998,0
1217.5475000000001,0
1218.462,0
1219.3765,0
1220.2915,0
1221.2060000000001,0
1222.1205,0
1223.0349999999999,0
1223.9495,0
1224.864,0
1225.7785,0
1226.6930000000002,0
1227.6075,1
1228.5225,0
1229.437,0
1230.3515,0
1231.266,0
1232.1805,0
1233.0949999999998,1
1234.0095000000001,0
1234.9245,1
1235.839,0
1236.7535,0
1237.6680000000001,0
1238.5825,0
1239.4969999999998,0
1240.4115,0
1241.326,0
1242.2404999999999,0
1243.1555,0
1244.0700000000002,0
1244.9845,0
1245.899,0
1246.8135,0
1247.728,0
1248.6425,1
1249.5569999999998,0
1250.4715,0
1251.3865,0
1252.301,0
1253.2155,0
1254.13,0
1255.0445,0
1255.9589999999998,0
1256.8735,0
1257.7885,0
1258.703,0
1259.6175,0
1260.5320000000002,0
1261.4465,0
1262.3609999999999,0
1263.2755,0
1264.19,0
1265.1045,0
1266.0194999999999,0
1266.9340000000002,0
1267.8485,0
1268.763,0
1269.6775,0
1270.592,1
1271.5065,0
1272.4215,0
1273.3359999999998,0
1274.2505,0
1275.165,0
1276.0795,0
1276.9940000000001,0
1277.9085,0
1278.8229999999999,1
1279.7375,0
1280.6525,0
1281.567,0
1282.4814999999999,0
1283.3960000000002,0
1284.3105,0
1285.225,0
1286.1395,0
1287.054,0
1287.9685,0
1288.8835,0
1289.798,0
1290.7125,0
1291.627,0
1292.5415,0
1293.4560000000001,0
1294.3705,0
1295.2855,0
1296.1999999999998,0
1297.1145,0
1298.029,0
1298.9435,0
1299.8580000000002,1
1300.7725,0
1301.687,0
1302.6015,0
1303.5165,1
1304.431,0
1305.3455,0
1306.2600000000002,0
1307.1745,0
1308.089,0
1309.0035,0
1309.9185,0
1310.833,0
1311.7475,0
1312.6619999999998,0
1313.5765000000001,1
1314.491,0
1315.4055,0
1316.3200000000002,1
1317.2345,0
1318.1495,1
1319.0639999999999,2
1319.9785,0
1320.893,1
1321.8075,0
1322.7220000000002,0
1323.6365,0
1324.551,0
1325.4655,0
1326.3805,2
1327.295,0
1328.2095,0
1329.1239999999998,0
1330.0385,1
1330.953,1
1331.8675,2
1332.7825,0
1333.6970000000001,1
1334.6115,1
1335.5259999999998,2
1336.4405,0
1337.355,0
1338.2694999999999,1
1339.1840000000002,0
1340.0985,2
1341.0135,4
1341.9279999999999,1
1342.8425,2
1343.757,3
1344.6715,6
1345.5859999999998,9
1346.5005,11
1347.415,7
1348.3295,9
1349.2445,6
1350.159,5
1351.0735,1
1351.9879999999998,3
1352.9025,4
1353.817,6
1354.7314999999999,10
1355.6465,14
1356.5610000000001,12
1357.4755,7
1358.3899999999999,16
1359.3045,12
1360.219,10
1361.1335,12
1362.048,11
1362.9625,8
1363.8775,7
1364.792,12
1365.7065,7
1366.621,4
1367.5355,13
1368.4499999999998,10
1369.3645,12
1370.2795,13
1371.194,11
1372.1085,4
1373.0230000000001,4
1373.9375,7
1374.8519999999999,11
1375.7665,15
1376.681,5
1377.5955,12
1378.5105,14
1379.4250000000002,10
1380.3395,8
1381.254,12
1382.1685,15
1383.083,11
1383.9975,14
1384.9119999999998,10
1385.8265000000001,9
1386.7415,8
1387.656,7
1388.5705,8
1389.4850000000001,11
1390.3995,15
1391.3139999999999,11
1392.2285,5
1393.1435000000001,12
1394.058,12
1394.9725,19
1395.8870000000002,20
1396.8015,11
1397.716,8
1398.6305,11
1399.545,12
1400.4595,15
1401.3745,13
1402.2890000000002,11
1403.2035,13
1404.118,4
1405.0325,8
1405.9470000000001,5
1406.8615,15
1407.7765,6
1408.6909999999998,7
1409.6055000000001,14
1410.52,5
1411.4345,7
1412.3490000000002,12
1413.2635,6
1414.1779999999999,11
1415.0925,13
1416.0075,16
1416.922,12
1417.8365,11
1418.7510000000002,14
1419.6655,8
1420.58,6
1421.4945,9
1422.409,13
1423.3235,9
1424.2385,11
1425.1529999999998,10
1426.0675,15
1426.982,4
1427.8965,7
1428.8110000000001,9
1429.7255,17
1430.6405,8
1431.5549999999998,9
1432.4695,11
1433.384,10
1434.2984999999999,10
1435.2130000000002,7
1436.1275,12
1437.042,12
1437.9565,6
1438.8715,14
1439.786,14
1440.7005,9
1441.6149999999998,9
1442.5295,6
1443.444,8
1444.3585,5
1445.2735,11
1446.188,14
1447.1025,7
1448.0169999999998,13
1448.9315,14
1449.846,11
1450.7605,21
1451.6750000000002,8
1452.5895,19
1453.5045,7
1454.4189999999999,10
1455.3335,7
1456.248,7
1457.1625,14
1458.077,1
1458.9915,8
1459.906,12
1460.8205,10
1461.7355,7
1462.65,13
1463.5645,11
1464.4789999999998,4
1465.3935000000001,12
1466.308,5
1467.2225,11
1468.1375,11
1469.0520000000001,16
1469.9665,9
1470.8809999999999,9
1471.7955,5
1472.71,11
1473.6245,9
1474.5390000000002,9
1475.4535,13
1476.3685,15
1477.283,9
1478.1975,14
1479.112,16
1480.0265,12
1480.9409999999998,11
1481.8555000000001,10
1482.77,7
1483.6845,10
1484.5995,7
1485.5140000000001,8
1486.4285,9
1487.3429999999998,10
1488.2575,8
1489.172,4
1490.0865,13
1491.0015,10
1491.9160000000002,7
1492.8305,13
1493.745,14
1494.6595,7
1495.574,7
1496.4885,13
1497.4029999999998,8
1498.3175,10
1499.2325,10
1500.147,16
1501.0615,6
1501.976,21
1502.8905,6
1503.8049999999998,8
1504.7195,9
1505.6345000000001,10
1506.549,7
1507.4635,10
1508.3780000000002,8
1509.2925,4
1510.2069999999999,16
1511.1215,7
1512.036,9
1512.9505,12
1513.8654999999999,8
1514.7800000000002,7
1515.6945,15
1516.609,15
1517.5235,13
1518.438,12
1519.3525,7
1520.2669999999998,3
1521.1815,10
1522.0965,11
1523.011,5
1523.9255,6
1524.8400000000001,9
1525.7545,10
1526.6689999999999,14
1527.5835,6
1528.4985,15
1529.413,6
1530.3274999999999,8
1531.2420000000002,10
1532.1565,6
1533.071,11
1533.9855,9
1534.9,12
1535.8145,5
1536.7295,9
1537.644,14
1538.5585,8
1539.473,19
1540.3875,16
1541.3020000000001,7
1542.2165,13
1543.1315,7
1544.0459999999998,9
1544.9605,9
1545.875,12
1546.7895,14
1547.7040000000002,11
1548.6185,13
1549.533,16
1550.4475,9
1551.3625,12
1552.277,14
1553.1915,11
1554.106,7
1555.0205,11
1555.935,12
1556.8495,14
1557.7640000000001,8
1558.6785,8
1559.5935,14
1560.5079999999998,16
1561.4225000000001,25
1562.337,8
1563.2515,8
1564.1660000000002,15
1565.0805,7
1565.9955,14
1566.9099999999999,12
1567.8245,12
1568.739,15
1569.6535,7
1570.5680000000002,13
1571.4825,21
1572.397,17
1573.3115,20
1574.2265,12
1575.141,10
1576.0555,17
1576.9699999999998,20
1577.8845000000001,16
1578.799,8
1579.7135,12
1580.6285,14
1581.5430000000001,14
1582.4575,14
1583.3719999999998,14
1584.2865,11
1585.201,8
1586.1154999999999,14
1587.0300000000002,9
1587.9445,11
1588.8595,9
1589.774,14
1590.6885,17
1591.603,14
1592.5175,13
1593.4319999999998,15
1594.3465,12
1595.261,10
1596.1755,9
1597.0905,11
1598.005,10
1598.9195,15
1599.8339999999998,10
1600.7485,19
1601.663,10
1602.5774999999999,17
1603.4925,5
1604.4070000000002,16
1605.3215,19
1606.2359999999999,8
1607.1505,12
1608.065,24
1608.9795,12
1609.894,10
1610.8085,9
1611.7235,11
1612.638,8
1613.5525,12
1614.467,12
1615.3815,11
1616.2959999999998,10
1617.2105,1
1618.1255,11
1619.04,11
1619.9545,10
1620.8690000000001,13
1621.7835,12
1622.6979999999999,7
1623.6125,17
1624.527,14
1625.4415,12
1626.3564999999999,11
1627.2710000000002,16
1628.1855,9
1629.1,14
1630.0145,12
1630.929,9
1631.8435,13
1632.7579999999998,15
1633.6725000000001,9
1634.5875,9
1635.502,14
1636.4165,18
1637.3310000000001,14
1638.2455,12
1639.1599999999999,10
1640.0745,10
1640.9895,18
1641.904,18
1642.8185,11
1643.7330000000002,6
1644.6475,16
1645.562,7
1646.4765,9
1647.391,14
1648.3055,20
1649.2205,11
1650.1350000000002,13
1651.0495,10
1651.964,11
1652.8785,12
1653.7930000000001,9
1654.7075,15
1655.6219999999998,19
1656.5365,20
1657.4515000000001,15
1658.366,24
1659.2805,13
1660.1950000000002,12
1661.1095,15
1662.024,18
1662.9385,13
1663.8535,13
1664.768,12
1665.6825,19
1666.5970000000002,20
1667.5115,23
1668.426,16
1669.3405,20
1670.255,15
1671.1695,18
1672.0845,14
1672.9989999999998,17
1673.9135,17
1674.828,20
1675.7425,24
1676.6570000000002,23
1677.5715,15
1678.4865,17
1679.4009999999998,16
1680.3155,19
1681.23,16
