,0
2011-04-17 12:00:00,8
2011-04-18 00:00:00,3
2011-04-18 12:00:00,7
2011-04-19 00:00:00,2
2011-04-19 12:00:00,8
2011-04-20 00:00:00,4
2011-04-20 12:00:00,4
2011-04-21 00:00:00,6
2011-04-21 12:00:00,7
2011-04-22 00:00:00,3
2011-04-22 12:00:00,2
2011-04-23 00:00:00,5
2011-04-23 12:00:00,5
2011-04-24 00:00:00,4
2011-04-24 12:00:00,4
2011-04-25 00:00:00,3
2011-04-25 12:00:00,3
2011-04-26 00:00:00,1
2011-04-26 12:00:00,8
2011-04-27 00:00:00,1
2011-04-27 12:00:00,2
2011-04-28 00:00:00,5
2011-04-28 12:00:00,4
2011-04-29 00:00:00,3
2011-04-29 12:00:00,4
2011-04-30 00:00:00,9
2011-04-30 12:00:00,2
2011-05-01 00:00:00,6
2011-05-01 12:00:00,1
2011-05-02 00:00:00,5
2011-05-02 12:00:00,6
2011-05-03 00:00:00,2
2011-05-03 12:00:00,5
2011-05-04 00:00:00,3
2011-05-04 12:00:00,6
2011-05-05 00:00:00,3
2011-05-05 12:00:00,11
2011-05-06 00:00:00,2
2011-05-06 12:00:00,1
2011-05-07 00:00:00,2
2011-05-07 12:00:00,7
2011-05-08 00:00:00,4
2011-05-08 12:00:00,2
2011-05-09 00:00:00,1
2011-05-09 12:00:00,6
2011-05-10 00:00:00,11
2011-05-10 12:00:00,7
2011-05-11 00:00:00,1
2011-05-11 12:00:00,8
2011-05-12 00:00:00,1
2011-05-12 12:00:00,3
2011-05-13 00:00:00,2
2011-05-13 12:00:00,5
2011-05-14 00:00:00,3
2011-05-14 12:00:00,2
2011-05-15 00:00:00,2
2011-05-15 12:00:00,6
2011-05-16 00:00:00,3
2011-05-16 12:00:00,4
2011-05-17 00:00:00,1
2011-05-17 12:00:00,5
2011-05-18 00:00:00,3
2011-05-18 12:00:00,4
2011-05-19 00:00:00,2
2011-05-19 12:00:00,0
2011-05-20 00:00:00,4
2011-05-20 12:00:00,3
2011-05-21 00:00:00,4
2011-05-21 12:00:00,3
2011-05-22 00:00:00,12
2011-05-22 12:00:00,3
2011-05-23 00:00:00,2
